Direction,Scenario,Landuse,Gen,Rep,Year,Alive,Starved,Winter_Kill,Predation,Stochastic_Death,Left_Map,Failed_to_Establish,Total_Dispersers,EnergyLevel_Mean,Stdev,Sterr,Variance,PercepDist_Mean,Stdev,Sterr,Variance,StepDist_Mean,Stdev,Sterr,Variance,     TotalDist_Mean,Stdev,Sterr,Variance,Tortuosity_Mean,Stdev,Sterr,Variance,SLDist_Mean,Stdev,Sterr,Variance,TimeSteps_Mean,TimeSteps_SD,Males,Females,ResCount,MaxDispersal
EW,C45,LU,0,1,2010,7,3,0,0,0,0,0,10,5338.20,228.64,86.42,52277.12,100.00,0.00,0.00,0.00,270.98,14.05,5.31,197.34,370612.35,155479.61,58765.77,24173908293.82,107.09,109.91,41.54,12079.64,5978.78,3913.08,1479.01,15312214.89,3561.86,1471.19,5,5,18,11116.6278765
EW,C45,LU,0,10,2010,7,1,0,2,0,0,0,10,5410.37,238.14,90.01,56709.92,100.00,0.00,0.00,0.00,270.36,9.03,3.41,81.52,319651.87,141829.98,53606.69,20115743027.28,45.82,42.64,16.11,1817.76,9411.21,5054.35,1910.37,25546501.36,3070.29,1311.13,5,5,18,19428.2157982
EW,C45,LU,0,2,2010,5,2,0,2,0,0,1,10,5515.47,116.12,51.93,13482.89,100.00,0.00,0.00,0.00,270.32,19.17,8.57,367.44,410827.10,101904.98,45573.29,10384625859.40,77.17,38.97,17.43,1518.96,7069.59,5488.06,2454.34,30118844.26,4043.40,1125.14,5,5,32,16446.6582998
EW,C45,LU,0,3,2010,8,1,0,0,0,0,1,10,5358.34,233.09,82.41,54330.79,100.00,0.00,0.00,0.00,272.28,15.68,5.54,245.72,337724.51,117928.83,41694.14,13907208240.03,54.36,54.20,19.16,2937.21,11939.73,9473.13,3349.26,89740247.06,3268.25,1170.80,5,5,25,30705.8281665
EW,C45,LU,0,4,2010,5,4,0,1,0,0,0,10,5279.50,324.57,145.15,105343.40,100.00,0.00,0.00,0.00,265.77,8.96,4.01,80.34,369427.24,85647.38,38302.67,7335474109.75,357.87,711.93,318.38,506842.14,8043.06,5627.42,2516.66,31667836.84,3631.80,803.81,5,5,23,14006.1087258
EW,C45,LU,0,5,2010,6,1,0,3,0,0,0,10,5484.27,130.70,53.36,17081.62,100.00,0.00,0.00,0.00,270.62,16.74,6.84,280.33,445892.86,106010.03,43278.41,11238126255.72,46.23,30.44,12.43,926.37,14940.10,12035.19,4913.35,144845877.82,4284.00,888.56,5,5,36,32038.3516104
EW,C45,LU,0,6,2010,5,3,0,1,0,0,1,10,5325.18,289.52,129.48,83823.67,100.00,0.00,0.00,0.00,263.38,15.24,6.82,232.29,367174.88,82282.99,36798.07,6770489885.94,25.30,10.07,4.50,101.35,16301.65,7119.45,3183.91,50686498.05,3668.20,902.41,5,5,34,27685.0533247
EW,C45,LU,0,7,2010,7,3,0,0,0,0,0,10,5439.85,332.71,125.75,110695.59,100.00,0.00,0.00,0.00,253.52,18.27,6.90,333.73,263277.25,100511.53,37989.79,10102568251.37,50.88,44.54,16.84,1984.01,7257.27,3715.82,1404.45,13807295.08,2742.29,1058.60,5,5,15,12010.3103086
EW,C45,LU,0,8,2010,6,4,0,0,0,0,0,10,5289.87,254.12,103.74,64574.73,100.00,0.00,0.00,0.00,272.69,15.18,6.20,230.53,372394.91,122491.39,50006.90,15004140389.17,70.68,18.67,7.62,348.52,5333.31,1636.70,668.18,2678785.41,3563.17,1174.56,5,5,35,7241.64135537
EW,C45,LU,0,9,2010,4,4,0,2,0,0,0,10,5280.73,189.38,94.69,35864.10,100.00,0.00,0.00,0.00,279.93,12.45,6.23,155.03,360882.36,88636.05,44318.02,7856349122.36,32.58,13.37,6.68,178.66,12901.63,6605.05,3302.53,43626690.55,3368.00,738.95,5,5,11,19650.3469031
