Land use,Scenario,Direction,Gen,Rep,X,Y,Proportion,Male
LU,C45,EW,1,1,272808,5128289,0,0
LU,C45,EW,1,1,272512,5131182,0,0
LU,C45,EW,1,1,278375,5135246,0,0
LU,C45,EW,1,1,279617,5118279,0,1
LU,C45,EW,1,1,274286,5127087,0,1
LU,C45,EW,1,1,269986,5128003,0.05141,1
LU,C45,EW,1,1,282288,5128974,0,1
LU,C45,EW,1,2,279700,5117748,0,0
LU,C45,EW,1,2,278428,5118980,0,0
LU,C45,EW,1,2,268480,5126688,0.08498,1
LU,C45,EW,1,2,273815,5120839,0,1
LU,C45,EW,1,2,273198,5138447,0,1
LU,C45,EW,1,3,274538,5139939,0,0
LU,C45,EW,1,3,267024,5133222,0.1174,0
LU,C45,EW,1,3,273252,5119903,0,0
LU,C45,EW,1,3,272880,5125555,0,0
LU,C45,EW,1,3,274174,5119985,0,1
LU,C45,EW,1,3,247136,5146139,0.5608,1
LU,C45,EW,1,3,279057,5141928,0,1
LU,C45,EW,1,3,272087,5138397,0.00457,1
LU,C85,EW,1,1,273163,5131373,0,0
LU,C85,EW,1,1,273162,5129338,0,0
LU,C85,EW,1,1,276061,5144297,0,0
LU,C85,EW,1,1,271158,5145721,0.02528,0
LU,C85,EW,1,1,281339,5114526,0,1
LU,C85,EW,1,1,269475,5124182,0.0628,1
LU,C85,EW,1,1,282026,5129091,0,1
LU,C85,EW,1,1,271334,5128060,0.02136,1
LU,C85,EW,1,2,273692,5120049,0,0
LU,C85,EW,1,2,259000,5135105,0.2963,0
LU,C85,EW,1,2,253477,5121361,0.4194,0
LU,C85,EW,1,2,284625,5129472,0,1
LU,C85,EW,1,2,279817,5140965,0,1
LU,C85,EW,1,3,284374,5128170,0,0
LU,C85,EW,1,3,284109,5126925,0,0
LU,C85,EW,1,3,283352,5129224,0,0
LU,C85,EW,1,3,274883,5140298,0,0
LU,C85,EW,1,3,283466,5127673,0,1
LU,C85,EW,1,3,272096,5137918,0.004369,1
LU,Hist,EW,1,1,269715,5127467,0.05745,0
LU,Hist,EW,1,1,269576,5132530,0.06055,0
LU,Hist,EW,1,1,267947,5138509,0.09686,0
LU,Hist,EW,1,1,279662,5118603,0,1
LU,Hist,EW,1,1,256778,5137409,0.3459,1
LU,Hist,EW,1,1,277918,5121208,0,1
LU,Hist,EW,1,2,272310,5138005,0,0
LU,Hist,EW,1,2,258978,5135224,0.2968,0
LU,Hist,EW,1,2,257941,5115270,0.3199,0
LU,Hist,EW,1,2,239099,5134219,0.74,1
LU,Hist,EW,1,3,274211,5140207,0,0
LU,Hist,EW,1,3,272984,5138515,0,0
LU,Hist,EW,1,3,273333,5119807,0,0
LU,Hist,EW,1,3,254992,5140480,0.3857,1
LU,Hist,EW,1,3,273012,5138801,0,1
NLU,C45,EW,1,1,273001,5130764,0,0
NLU,C45,EW,1,1,270814,5128323,0.03295,0
NLU,C45,EW,1,1,279886,5141924,0,0
NLU,C45,EW,1,1,272226,5138740,0.001471,0
NLU,C45,EW,1,1,263360,5131806,0.1991,0
NLU,C45,EW,1,1,282949,5123188,0,1
NLU,C45,EW,1,1,271670,5127577,0.01387,1
NLU,C45,EW,1,1,269547,5124522,0.06119,1
NLU,C45,EW,1,1,279205,5116694,0,1
NLU,C45,EW,1,2,250340,5124407,0.4894,0
NLU,C45,EW,1,2,272893,5123176,0,0
NLU,C45,EW,1,2,276276,5137461,0,0
NLU,C45,EW,1,2,279361,5132133,0,0
